Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
0.00,246.48,247.69,0.00,0,0,69.46%,N/A,175.00,0.30,0.21,0.34,0.00,0,24,58.85%,05/23/23
0.00,241.59,242.79,0.00,0,0,67.52%,N/A,180.00,0.34,0.23,0.37,0.00,0,160,57.72%,05/25/23
229.07,236.69,237.90,0.00,0,5,65.62%,04/24/23,185.00,0.40,0.26,0.39,0.00,0,302,56.58%,05/24/23
0.00,231.80,233.01,0.00,0,0,63.81%,N/A,190.00,0.38,0.29,0.42,0.00,0,242,55.53%,05/23/23
0.00,226.91,228.11,0.00,0,19,61.97%,N/A,195.00,0.47,0.32,0.45,0.00,0,998,54.45%,05/24/23
214.44,222.03,223.22,0.00,0,11,60.28%,05/11/23,200.00,0.42,0.35,0.48,0.42,113,"1,119",53.44%,05/26/23
0.00,217.14,218.34,0.00,0,5,58.61%,N/A,205.00,0.48,0.38,0.52,0.00,0,183,52.33%,05/19/23
0.00,212.26,213.45,0.00,0,11,56.97%,N/A,210.00,0.49,0.42,0.55,0.49,4,833,51.35%,05/26/23
197.09,207.38,208.57,0.00,0,12,55.40%,04/25/23,215.00,0.54,0.45,0.59,0.00,0,765,50.21%,05/19/23
0.00,202.50,203.69,0.00,0,48,53.86%,N/A,220.00,0.64,0.49,0.63,0.00,0,86,49.20%,05/25/23
189.92,197.63,198.81,0.00,0,3,52.39%,04/14/23,225.00,0.66,0.54,0.67,0.00,0,483,48.23%,05/19/23
0.00,192.75,193.93,0.00,0,3,50.91%,N/A,230.00,0.63,0.58,0.70,0.63,18,194,47.01%,05/26/23
187.53,187.88,189.06,187.53,1,2,49.52%,05/26/23,235.00,0.79,0.63,0.77,0.00,0,317,46.28%,05/25/23
174.25,183.02,184.19,0.00,0,3,48.19%,05/09/23,240.00,0.85,0.68,0.82,0.00,0,"2,914",45.30%,05/25/23
0.00,178.15,179.33,0.00,0,0,46.88%,N/A,245.00,0.77,0.73,0.83,0.77,4,484,44.03%,05/26/23
165.10,173.30,174.46,0.00,0,2,45.61%,04/12/23,250.00,0.87,0.79,0.93,0.87,13,"2,007",43.45%,05/26/23
0.00,168.44,169.61,0.00,0,0,44.39%,N/A,255.00,0.90,0.90,0.94,0.90,22,837,42.27%,05/26/23
157.05,163.59,164.75,0.00,0,3,43.18%,05/08/23,260.00,1.00,0.91,1.01,1.00,5,313,41.60%,05/26/23
0.00,158.75,159.90,0.00,0,0,42.03%,N/A,265.00,1.04,1.03,1.07,1.04,200,"1,265",40.47%,05/26/23
0.00,153.91,155.06,0.00,0,0,40.91%,N/A,270.00,1.15,1.06,1.16,1.15,27,353,39.78%,05/26/23
0.00,149.08,150.23,0.00,0,0,39.85%,N/A,275.00,1.22,1.14,1.24,1.22,27,"1,137",38.81%,05/26/23
0.00,144.26,145.40,0.00,0,20,38.81%,N/A,280.00,1.26,1.22,1.32,1.26,12,"1,349",37.67%,05/26/23
0.00,139.44,140.58,0.00,0,0,37.78%,N/A,285.00,1.73,1.32,1.46,0.00,0,"1,055",36.99%,05/24/23
125.21,134.64,135.77,0.00,0,0,36.81%,05/02/23,290.00,1.48,1.45,1.52,1.48,3,"1,639",36.07%,05/26/23
0.00,129.84,130.97,0.00,0,0,35.85%,N/A,295.00,1.83,1.53,1.63,0.00,0,388,35.17%,05/25/23
122.80,125.07,126.19,0.00,0,10,34.97%,05/22/23,300.00,1.75,1.70,1.73,1.75,642,"6,886",34.40%,05/26/23
110.27,120.31,121.42,0.00,0,4,34.10%,04/12/23,305.00,1.86,1.84,1.86,1.86,"24,758","26,766",33.62%,05/26/23
101.65,115.57,116.67,0.00,0,1,33.28%,05/04/23,310.00,2.01,1.95,2.03,2.01,12,"1,989",32.82%,05/26/23
110.39,110.84,111.93,0.00,0,1,32.45%,05/19/23,315.00,2.12,2.07,2.19,2.12,7,"1,059",31.85%,05/26/23
101.83,106.12,107.20,101.83,1,5,31.62%,05/26/23,320.00,2.36,2.25,2.37,2.36,54,"4,197",31.27%,05/26/23
94.81,101.43,102.50,0.00,0,2,30.84%,05/12/23,325.00,2.55,2.44,2.56,2.55,10,"4,448",30.48%,05/26/23
80.62,96.75,97.81,0.00,0,3,30.04%,03/29/23,330.00,2.80,2.71,2.75,2.80,33,"2,507",29.61%,05/26/23
0.00,92.11,93.15,0.00,0,0,29.29%,N/A,335.00,2.99,2.95,2.98,2.99,86,"2,258",28.86%,05/26/23
83.55,87.48,88.50,0.00,0,126,28.51%,05/17/23,340.00,3.23,3.21,3.26,3.23,103,"4,811",28.12%,05/26/23
74.55,82.88,83.89,0.00,0,13,27.76%,05/15/23,345.00,3.56,3.51,3.63,3.56,51,"1,931",27.47%,05/26/23
71.90,78.32,79.31,0.00,0,229,27.02%,05/25/23,350.00,3.94,3.85,3.89,3.94,422,"19,649",26.71%,05/26/23
69.77,73.80,74.77,0.00,0,203,26.31%,05/23/23,355.00,4.29,4.20,4.33,4.29,15,"4,670",26.11%,05/26/23
65.38,69.31,70.26,0.00,0,308,25.58%,05/23/23,360.00,4.66,4.60,4.66,4.66,826,"5,451",25.34%,05/26/23
65.11,64.88,65.80,65.11,1,526,24.50%,05/26/23,365.00,5.15,5.05,5.14,5.15,311,"13,166",24.61%,05/26/23
56.18,60.49,61.39,0.00,0,562,24.18%,05/25/23,370.00,5.61,5.58,5.72,5.61,136,"13,258",23.94%,05/26/23
48.97,56.15,57.01,0.00,0,25,23.47%,05/24/23,375.00,6.23,6.11,6.18,6.23,"24,861","44,158",23.21%,05/26/23
51.98,51.87,52.71,51.98,1,"2,074",22.33%,05/26/23,380.00,6.82,6.74,6.82,6.82,"1,138","22,544",22.60%,05/26/23
45.85,47.68,48.47,45.85,10,"1,798",22.08%,05/26/23,385.00,7.60,7.30,7.63,7.60,54,"12,904",22.02%,05/26/23
43.20,43.54,44.29,43.20,2,"8,372",21.36%,05/26/23,390.00,8.25,8.20,8.29,8.25,467,"14,173",21.17%,05/26/23
34.26,39.48,40.20,0.00,0,"2,627",20.65%,05/25/23,395.00,9.24,9.04,9.16,9.24,330,"18,940",20.46%,05/26/23
34.86,35.51,36.19,34.86,4,"1,128",19.92%,05/26/23,400.00,10.03,10.03,10.10,10.03,"1,493","7,355",19.73%,05/26/23
31.70,31.64,32.28,31.70,3,527,18.91%,05/26/23,405.00,11.24,10.93,11.30,11.24,119,"7,939",19.16%,05/26/23
27.90,27.85,28.18,27.90,962,"2,741",18.15%,05/26/23,410.00,12.45,12.24,12.40,12.45,"1,234","20,292",18.31%,05/26/23
24.37,24.23,24.84,24.37,255,"4,226",17.52%,05/26/23,415.00,13.70,13.57,13.71,13.70,871,"13,631",17.61%,05/26/23
20.50,20.76,21.34,20.50,115,"7,987",16.94%,05/26/23,420.00,15.22,15.09,15.26,15.22,500,"9,447",16.87%,05/26/23
17.46,17.51,18.03,17.46,217,"9,584",16.21%,05/26/23,425.00,17.20,16.67,17.17,17.20,102,"2,202",16.09%,05/26/23
14.46,14.51,14.92,14.46,151,"7,323",15.49%,05/26/23,430.00,19.14,18.69,19.24,19.14,553,"2,523",15.56%,05/26/23
11.60,11.73,12.10,11.60,322,"2,723",14.79%,05/26/23,435.00,21.58,21.06,21.67,21.58,50,"10,099",14.97%,05/26/23
9.45,9.27,9.62,9.45,87,"7,835",14.17%,05/26/23,440.00,24.36,23.83,24.53,24.36,160,"1,940",14.39%,05/26/23
7.14,7.27,7.39,7.14,143,"15,008",13.61%,05/26/23,445.00,28.80,27.07,27.86,28.80,10,"1,937",13.75%,05/26/23
5.36,5.52,5.60,5.36,"26,234","39,308",13.12%,05/26/23,450.00,32.10,30.79,31.68,32.10,3,950,13.42%,05/26/23
4.09,4.00,4.30,4.09,132,"13,555",12.66%,05/26/23,455.00,35.60,34.95,35.93,35.60,1,19,13.53%,05/26/23
2.92,2.92,3.18,2.92,46,"5,674",12.24%,05/26/23,460.00,40.10,39.46,40.52,40.10,2,5,13.31%,05/26/23
2.20,2.14,2.27,2.20,122,"5,475",12.17%,05/26/23,465.00,52.50,44.20,45.31,0.00,0,3,15.18%,05/08/23
1.57,1.60,1.63,1.57,142,"2,350",12.07%,05/26/23,470.00,55.99,49.06,50.20,0.00,0,0,15.89%,05/23/23
1.12,1.12,1.21,1.12,9,"1,110",11.86%,05/26/23,475.00,55.87,54.01,55.16,0.00,0,2,16.78%,05/18/23
0.84,0.85,0.90,0.84,34,"2,007",12.04%,05/26/23,480.00,64.29,58.97,60.13,0.00,0,0,17.67%,05/01/23
0.63,0.59,0.72,0.63,9,"1,756",12.01%,05/26/23,485.00,71.86,63.95,65.11,0.00,0,20,18.58%,05/05/23
0.48,0.43,0.50,0.48,3,957,12.14%,05/26/23,490.00,74.40,68.93,70.10,0.00,0,0,19.50%,05/17/23
0.32,0.31,0.41,0.32,10,"1,050",12.00%,05/26/23,495.00,0.00,73.92,75.08,0.00,0,0,20.35%,N/A
0.29,0.27,0.31,0.29,"2,142","3,163",12.47%,05/26/23,500.00,89.75,78.90,80.06,0.00,0,10,21.18%,05/24/23
0.23,0.21,0.25,0.23,240,"7,930",12.67%,05/26/23,505.00,0.00,83.88,85.05,0.00,0,0,22.04%,N/A
0.13,0.11,0.22,0.00,0,"6,208",12.69%,05/24/23,510.00,0.00,88.87,90.03,0.00,0,0,22.82%,N/A
0.10,0.12,0.16,0.10,100,"1,518",12.99%,05/26/23,515.00,0.00,93.85,95.02,0.00,0,0,23.64%,N/A
0.12,0.05,0.15,0.12,20,"7,593",13.30%,05/26/23,520.00,112.54,98.83,100.00,0.00,0,0,24.38%,04/05/23
0.10,0.03,0.16,0.10,30,392,13.54%,05/26/23,525.00,0.00,103.82,104.99,0.00,0,0,25.17%,N/A
0.08,0.01,0.14,0.00,0,512,13.62%,05/22/23,530.00,111.41,108.80,109.97,111.41,2,0,0.00%,05/26/23
0.05,0.03,0.09,0.00,0,203,13.79%,05/23/23,535.00,115.61,113.80,114.97,115.61,2,0,0.00%,05/26/23
0.05,0.04,0.08,0.00,0,62,14.29%,05/15/23,540.00,0.00,118.80,119.97,0.00,0,0,0.00%,N/A
0.04,0.02,0.11,0.00,0,"1,380",14.90%,05/18/23,545.00,0.00,123.80,124.97,0.00,0,0,0.00%,N/A
0.03,0.01,0.10,0.03,4,881,14.24%,05/26/23,550.00,138.14,128.80,129.97,0.00,0,1,0.00%,04/20/23
0.03,0.00,0.06,0.00,0,705,0.00%,05/24/23,555.00,143.17,133.80,134.97,0.00,0,0,0.00%,04/20/23
0.03,0.00,0.09,0.00,0,494,0.00%,05/15/23,560.00,141.21,138.79,139.97,141.21,2,0,0.00%,05/26/23
0.02,0.00,0.05,0.00,0,190,0.00%,05/10/23,565.00,146.16,143.79,144.97,146.16,2,0,0.00%,05/26/23
0.02,0.01,0.05,0.02,5,560,15.43%,05/26/23,570.00,0.00,148.79,149.97,0.00,0,0,0.00%,N/A
0.04,0.00,0.05,0.00,0,249,0.00%,04/14/23,575.00,0.00,153.79,154.97,0.00,0,0,0.00%,N/A
0.02,0.00,0.04,0.00,0,87,0.00%,05/22/23,580.00,0.00,158.79,159.97,0.00,0,0,0.00%,N/A
0.02,0.01,0.04,0.00,0,104,17.00%,05/11/23,585.00,0.00,163.79,164.97,0.00,0,0,0.00%,N/A
0.02,0.00,0.04,0.00,0,259,0.00%,05/19/23,590.00,0.00,168.79,169.97,0.00,0,0,0.00%,N/A
0.02,0.00,0.04,0.00,0,17,0.00%,05/22/23,595.00,0.00,173.78,174.97,0.00,0,0,0.00%,N/A
0.02,0.00,0.04,0.00,0,321,0.00%,05/22/23,600.00,194.00,178.78,179.97,0.00,0,0,0.00%,03/31/23
"Downloaded from Barchart.com as of 05-29-2023 08:56am CDT"
